identity,expression,filename,dist_ensx_se,dist_ensx_prn,dist_se_prn,dist_se_ls,dist_prn_ls,dist_alL_alR,dist_cheilion_sx_cheilion_dx,dist_ensx_exsx,dist_ensdx_exdx,dist_exsx_exdx,dist_ensx_ensdx,area_ensx_exsx_exdx,area_prn_alL_alR,area_cheilion_sx_cheilion_dx_ls,area_ensx_ensdx_prn,area_se_prn_alL,area_se_prn_alR,volume_ensx_prn_alL_alR,volume_ensx_exsx_exdx_prn,volume_ensx_ensdx_se_prn,volume_exsx_exdx_alL_alR,facial_area
bs101,N,bs101_N_N_0.lm3,0.4161,1.3941,1.1731,1.9048,0.9822,0.9625,1.4303,0.862,0.876,2.6839,1.0,0.485,0.4029,0.6194,1.0,0.5935,0.6954,1.7064,0.863,1.0,1.2393,3.7962
bs101,N,bs101_N_N_1.lm3,0.4766,1.3603,1.1008,1.8554,0.9794,0.9701,1.3322,0.7432,0.7978,2.5152,1.0,0.2699,0.4596,0.4832,1.0,0.5736,0.7609,1.6471,0.0922,1.0,1.7131,3.5472
bs101,N,bs101_N_N_2.lm3,0.4339,1.4234,1.1988,1.8973,0.9554,1.0282,1.5015,0.8434,0.8404,2.6429,1.0,0.3666,0.4627,0.6286,1.0,0.5701,0.8268,1.828,0.4923,1.0,2.4219,3.8548
bs101,N,bs101_N_N_3.lm3,0.4161,1.3556,1.1853,1.9145,0.9687,1.0111,1.3811,0.7641,0.797,2.5159,1.0,0.3447,0.504,0.5703,1.0,0.65,0.8645,1.8145,0.2594,1.0,2.1841,3.9335
bs102,N,bs102_N_N_0.lm3,0.4462,1.6421,1.4709,2.0007,0.9012,1.106,1.3482,0.8163,0.9068,2.7186,1.0,0.1106,0.3974,0.5917,1.0,0.7387,0.6797,1.5348,0.1644,1.0,0.364,3.5181
bs102,N,bs102_N_N_1.lm3,0.4197,1.5732,1.3595,1.9338,0.9133,1.1177,1.3514,0.8044,0.8102,2.6028,1.0,0.0678,0.5066,0.5586,1.0,0.659,0.8533,2.2386,0.1463,1.0,2.3666,3.6453
bs102,N,bs102_N_N_2.lm3,0.3872,1.5994,1.4189,1.9857,0.9266,1.1358,1.3368,0.8408,0.8144,2.6444,1.0,0.1439,0.4899,0.5302,1.0,0.6879,0.8357,2.3723,0.5286,1.0,1.6925,3.6876
bs102,N,bs102_N_N_3.lm3,0.3791,1.6265,1.5051,2.1188,0.9908,1.169,1.3727,0.929,0.9187,2.8134,1.0,0.3388,0.4545,0.5295,1.0,0.7427,0.8035,1.9825,0.8,1.0,1.0723,3.869
bs103,N,bs103_N_N_0.lm3,0.4302,1.419,1.2226,1.6797,0.7479,0.9411,1.2952,0.7547,0.7314,2.4518,1.0,0.3378,0.3835,0.4074,1.0,0.5399,0.697,1.3807,0.7366,1.0,1.6098,3.3656
bs103,N,bs103_N_N_1.lm3,0.4335,1.4016,1.2359,1.7521,0.794,0.9761,1.3422,0.827,0.7958,2.5732,1.0,0.4433,0.4252,0.436,1.0,0.6164,0.7183,1.4659,0.7062,1.0,1.1197,3.6392
bs103,N,bs103_N_N_2.lm3,0.4094,1.3913,1.245,1.7898,0.8296,0.9794,1.3599,0.8127,0.7633,2.5303,1.0,0.4204,0.4684,0.4581,1.0,0.6829,0.7563,1.6332,0.6759,1.0,0.704,3.7861
bs103,N,bs103_N_N_3.lm3,0.4092,1.4261,1.309,1.829,0.8069,0.9682,1.3697,0.8817,0.8072,2.6284,1.0,0.5062,0.3788,0.4405,1.0,0.6573,0.648,1.2462,0.8321,1.0,0.0235,3.6308
bs104,N,bs104_N_N_0.lm3,0.3177,1.4699,1.372,2.0118,1.0276,1.0531,1.3428,0.9202,0.8822,2.7567,1.0,0.4194,0.5233,0.5059,1.0,0.7103,0.9239,3.0602,1.1391,1.0,3.0486,4.0828
bs104,N,bs104_N_N_1.lm3,0.4659,1.4749,1.3547,2.0672,1.0369,1.0092,1.2601,0.9132,0.8615,2.7269,1.0,0.4643,0.4734,0.4054,1.0,0.6856,0.87,1.5311,0.7937,1.0,1.7183,3.8987
bs104,N,bs104_N_N_2.lm3,0.408,1.4759,1.3617,2.0436,1.0071,0.9566,1.2774,0.9333,0.8144,2.6881,1.0,0.495,0.3916,0.4468,1.0,0.6716,0.7349,1.5485,1.0018,1.0,0.7547,3.7399
bs104,N,bs104_N_N_3.lm3,0.4221,1.4392,1.2808,1.9226,0.9593,0.9068,1.1876,0.779,0.8324,2.5853,1.0,0.1772,0.3752,0.4344,1.0,0.6311,0.6863,1.6015,0.3393,1.0,0.1399,3.3042
francesca,neutral,francesca1_Color.png,1.2403,0.3298,1.3861,2.5369,0.7442,1.0,0.2669,0.5288,1.3556,0.3946,0.4702,0.0851,0.1531,0.2046,1.0,0.3216,0.3108,0.4853,0.1166,1.0,0.1111,2.0752
francesca,neutral,francesca2_Color.png,1.3584,0.4529,1.4465,2.7203,0.7255,1.0,0.2622,0.4798,1.2397,0.3019,0.4778,0.1253,0.1287,0.1861,1.0,0.2629,0.2681,0.4133,0.3203,1.0,0.0164,1.9710
francesca,neutral,francesca3_Color.png,1.4194,0.3883,1.2542,2.5884,0.7206,1.0,0.2633,0.5246,1.3027,0.3549,0.4636,0.0951,0.144,0.2082,1.0,0.2863,0.2955,0.4124,0.1306,1.0,0.0035,2.0291
francesca,neutral,francesca4_Color.png,1.3807,0.3735,1.3266,2.6185,0.7137,1.0,0.3935,0.5495,1.2363,0.4007,0.5235,0.0958,0.1148,0.2246,1.0,0.2742,0.2119,0.3362,0.1586,1.0,0.2819,1.9213
francesca,neutral,francesca5_Color.png,1.2322,0.3166,1.4028,2.5541,0.7824,1.0,0.2583,0.4938,1.1355,0.3165,0.4685,0.0679,0.1391,0.1944,1.0,0.31,0.3099,0.432,0.0535,1.0,0.0431,2.0213
francesca,neutral,francesca6_Color.png,1.6957,0.3875,1.5999,3.2256,0.7381,1.0,0.2995,0.5309,1.509,0.4958,0.47,0.0955,0.1393,0.1994,1.0,0.2704,0.2919,0.4005,0.1486,1.0,0.0058,1.9965
francesca,neutral,francesca7_Color.png,1.6792,0.3627,1.5158,3.1313,0.7094,1.0,0.3854,0.5551,1.4027,0.3799,0.4564,0.0834,0.1395,0.2039,1.0,0.2702,0.3155,0.4302,0.0535,1.0,0.154,2.0125
francesca,neutral,francesca8_Color.png,1.8029,0.5101,1.5075,3.2548,0.7452,1.0,0.3481,0.5045,1.2513,0.4627,0.4559,0.1249,0.1536,0.1897,1.0,0.2745,0.3082,0.4822,0.2103,1.0,0.065,2.0509
francesca,neutral,francesca9_Color.png,1.5828,0.3975,1.8327,3.3473,0.8182,1.0,0.4479,0.568,1.4378,0.3742,0.4602,0.0817,0.1389,0.1925,1.0,0.28,0.3333,0.4924,0.0918,1.0,0.2149,2.0264
francesca,neutral,francesca10_Color.png,1.7066,0.4803,1.6045,3.2415,0.7427,1.0,0.4803,0.573,1.4327,0.462,0.4667,0.1219,0.1449,0.2023,1.0,0.2658,0.3268,0.392,0.2638,1.0,0.1499,2.0617
francesca,neutral,francesca11_Color.png,1.4027,0.3655,1.3549,2.6919,0.8295,1.0,0.2596,0.6004,0.8434,0.286,0.4814,0.0731,0.1114,0.178,1.0,0.2443,0.2281,0.434,0.0449,1.0,0.0694,1.8349
francesca,neutral,francesca12_Color.png,1.3484,0.3379,1.2643,2.555,0.7385,1.0,0.3644,0.5911,0.8418,0.2281,0.4914,0.0529,0.146,0.1781,1.0,0.2911,0.2461,0.5737,0.0111,1.0,0.1611,1.9142
francesca,neutral,francesca13_Color.png,1.1901,0.2537,1.4707,2.5934,0.8682,1.0,0.2508,0.6213,0.9183,0.2791,0.5374,0.0308,0.1246,0.1863,1.0,0.2641,0.2803,0.5468,0.4584,1.0,0.1513,1.8861
francesca,neutral,francesca14_Color.png,1.3064,0.3928,1.3716,2.617,0.7992,1.0,0.2614,0.5794,0.8663,0.2374,0.4768,0.0855,0.1354,0.1757,1.0,0.2667,0.2721,0.5251,0.0042,1.0,0.0416,1.9354
francesca,neutral,francesca15_Color.png,1.0158,0.4275,1.4912,2.4134,0.8587,1.0,0.3728,0.7258,0.9358,0.2588,0.5893,0.1435,0.1519,0.2052,1.0,0.3115,0.2722,0.6625,0.632,1.0,0.1505,2.0843
ludovica,neutral,ludovica1_Color.png,1.8031,0.7288,1.9508,3.6892,0.9407,1.0,0.2623,0.5477,1.3124,0.6997,0.4699,0.1924,0.1102,0.1435,1.0,0.2432,0.2614,0.3079,0.3691,1.0,0.0782,1.9507
ludovica,neutral,ludovica2_Color.png,1.8493,0.443,1.8516,3.6449,0.868,1.0,0.4043,0.5991,1.3323,0.3726,0.4878,0.0981,0.148,0.1607,1.0,0.2953,0.2582,0.4633,0.1207,1.0,0.2349,1.9603000000000002
ludovica,neutral,ludovica3_Color.png,1.7605,0.475,1.8766,3.5727,0.9025,1.0,0.3794,0.5467,1.3132,0.4594,0.4337,0.1097,0.1269,0.1478,1.0,0.2791,0.2387,0.4101,0.1468,1.0,0.2401,1.9022
ludovica,neutral,ludovica4_Color.png,1.9984,0.6661,1.4524,3.4062,0.6516,1.0,0.2971,0.5365,1.2442,0.3523,0.387,0.1567,0.148,0.1516,1.0,0.2822,0.2589,0.4635,0.264,1.0,0.1517,1.9973999999999998
ludovica,neutral,ludovica5_Color.png,1.7427,0.535,1.9646,3.6394,0.9314,1.0,0.2606,0.5528,1.35,0.4462,0.4715,0.1306,0.1216,0.1408,1.0,0.2623,0.2547,0.3751,0.2406,1.0,0.1007,1.91
